Value Percentile TotalCount 1/(1-Percentile)

0.20 0.000000 1 1.00
1.39 0.050000 255324 1.05
1.57 0.100000 501982 1.11
1.69 0.150000 774465 1.18
1.73 0.200000 1055810 1.25
1.75 0.250000 1360263 1.33
1.77 0.300000 1601085 1.43
1.78 0.350000 1836564 1.54
1.80 0.400000 2040379 1.67
1.82 0.450000 2262783 1.82
1.87 0.500000 2529173 2.00
1.90 0.525000 2642134 2.11
1.93 0.550000 2779034 2.22
1.97 0.575000 2883827 2.35
2.10 0.600000 3010096 2.50
2.22 0.625000 3127606 2.67
2.33 0.650000 3266126 2.86
2.45 0.675000 3386927 3.08
2.54 0.700000 3518251 3.33
2.61 0.725000 3649389 3.64
2.65 0.750000 3758481 4.00
2.69 0.762500 3827116 4.21
2.72 0.775000 3882883 4.44
2.78 0.787500 3947652 4.71
2.91 0.800000 4005162 5.00
3.18 0.812500 4064423 5.33
3.33 0.825000 4138107 5.71
3.38 0.837500 4187749 6.15
3.42 0.850000 4255422 6.67
3.46 0.862500 4319754 7.27
3.49 0.875000 4406076 8.00
3.50 0.881250 4455035 8.42
3.50 0.887500 4455035 8.89
3.52 0.893750 4503741 9.41
3.52 0.900000 4503741 10.00
3.54 0.906250 4550770 10.67
3.55 0.912500 4594894 11.43
3.55 0.918750 4594894 12.31
3.57 0.925000 4633969 13.33
3.58 0.931250 4668214 14.55
3.60 0.937500 4699096 16.00
3.62 0.940625 4727439 16.84
3.62 0.943750 4727439 17.78
3.63 0.946875 4752524 18.82
3.63 0.950000 4752524 20.00
3.65 0.953125 4775770 21.33
3.66 0.956250 4797112 22.86
3.66 0.959375 4797112 24.62
3.68 0.962500 4815634 26.67
3.69 0.965625 4832079 29.09
3.71 0.968750 4845926 32.00
3.73 0.970313 4857630 33.68
3.74 0.971875 4867695 35.56
3.74 0.973437 4867695 37.65
3.76 0.975000 4875967 40.00
3.77 0.976562 4882859 42.67
3.81 0.978125 4893516 45.71
3.84 0.979688 4901998 49.23
3.87 0.981250 4908969 53.33
3.90 0.982812 4914981 58.18
3.95 0.984375 4923077 64.00
3.98 0.985156 4927393 67.37
4.01 0.985938 4930776 71.11
4.05 0.986719 4933799 75.29
4.13 0.987500 4939330 80.00
