Value Percentile TotalCount 1/(1-Percentile)

0.21 0.000000 1 1.00
1.36 0.050000 258785 1.05
1.43 0.100000 505033 1.11
1.47 0.150000 766485 1.18
1.52 0.200000 1018012 1.25
1.60 0.250000 1272880 1.33
1.72 0.300000 1506369 1.43
1.77 0.350000 1777846 1.54
1.81 0.400000 2033752 1.67
1.85 0.450000 2280792 1.82
1.91 0.500000 2527139 2.00
1.94 0.525000 2637543 2.11
1.96 0.550000 2752944 2.22
2.00 0.575000 2883486 2.35
2.14 0.600000 3009714 2.50
2.27 0.625000 3130759 2.67
2.38 0.650000 3256597 2.86
2.46 0.675000 3386358 3.08
2.53 0.700000 3503504 3.33
2.61 0.725000 3649743 3.64
2.69 0.750000 3768828 4.00
2.73 0.762500 3830355 4.21
2.78 0.775000 3884329 4.44
2.83 0.787500 3941518 4.71
2.88 0.800000 4021086 5.00
2.91 0.812500 4083522 5.33
2.94 0.825000 4138803 5.71
2.99 0.837500 4201506 6.15
3.04 0.850000 4250398 6.67
3.13 0.862500 4319594 7.27
3.31 0.875000 4376958 8.00
3.39 0.881250 4411263 8.42
3.46 0.887500 4445570 8.89
3.49 0.893750 4470446 9.41
3.52 0.900000 4506438 10.00
3.55 0.906250 4553980 10.67
3.57 0.912500 4579211 11.43
3.58 0.918750 4603655 12.31
3.60 0.925000 4627230 13.33
3.63 0.931250 4669468 14.55
3.65 0.937500 4688771 16.00
3.66 0.940625 4707710 16.84
3.68 0.943750 4727174 17.78
3.69 0.946875 4747251 18.82
3.71 0.950000 4767700 20.00
3.71 0.953125 4767700 21.33
3.73 0.956250 4788185 22.86
3.74 0.959375 4807861 24.62
3.76 0.962500 4825034 26.67
3.77 0.965625 4839461 29.09
3.79 0.968750 4851365 32.00
3.81 0.970313 4860780 33.68
3.81 0.971875 4860780 35.56
3.82 0.973437 4868611 37.65
3.84 0.975000 4875367 40.00
3.87 0.976562 4886326 42.67
3.89 0.978125 4891047 45.71
3.92 0.979688 4899372 49.23
3.97 0.981250 4909242 53.33
4.00 0.982812 4914674 58.18
4.06 0.984375 4922688 64.00
4.13 0.985156 4928428 67.37
4.16 0.985938 4931141 71.11
4.19 0.986719 4933655 75.29
4.25 0.987500 4937775 80.00
4.35 0.988281 4943038 85.33
4.42 0.989062 4945990 91.43
4.51 0.989844 4950195 98.46
4.61 0.990625 4953477 106.67
4.74 0.991406 4957304 116.36
4.89 0.992188 4961029 128.00
4.99 0.992578 4963117 134.74
5.09 0.992969 4964907 142.22
5.21 0.993359 4966951 150.59
5.38 0.993750 4969015 160.00
5.57 0.994141 4970797 170.67
5.82 0.994531 4972952 182.86
6.08 0.994922 4974626 196.92
6.56 0.995313 4976654 213.33
7.07 0.995703 4978520 232.73
7.68 0.996094 4980498 256.00
7.97 0.996289 4981449 269.47
8.32 0.996484 4982551 284.44
8.64 0.996680 4983463 301.18
8.96 0.996875 4984481 320.00
9.34 0.997070 4985378 341.33
9.86 0.997266 4986380 365.71
10.43 0.997461 4987342 393.85
11.07 0.997656 4988320 426.67
11.71 0.997852 4989281 465.45
12.29 0.998047 4990240 512.00
12.67 0.998145 4990799 538.95
12.99 0.998242 4991262 568.89
13.31 0.998340 4991707 602.35
13.70 0.998437 4992193 640.00
14.14 0.998535 4992748 682.67
14.53 0.998633 4993192 731.43
14.91 0.998730 4993653 787.69
15.42 0.998828 4994165 853.33
16.00 0.998926 4994655 930.91
16.64 0.999023 4995161 1024.00
17.02 0.999072 4995424 1077.89
17.41 0.999121 4995693 1137.78
17.66 0.999170 4995854 1204.71
18.05 0.999219 4996105 1280.00
18.56 0.999268 4996416 1365.33
18.82 0.999316 4996587 1462.86
19.33 0.999365 4996900 1575.38
19.71 0.999414 4997101 1706.67
20.22 0.999463 4997341 1861.82
20.73 0.999512 4997579 2048.00
20.99 0.999536 4997697 2155.79
21.25 0.999561 4997808 2275.56
21.50 0.999585 4997935 2409.41
21.89 0.999609 4998115 2560.00
