Value Percentile TotalCount 1/(1-Percentile)

0.06 0.000000 2 1.00
1.40 0.050000 121949 1.05
1.42 0.100000 226291 1.11
1.44 0.150000 328500 1.18
1.46 0.200000 457518 1.25
1.46 0.250000 529666 1.33
1.47 0.300000 605138 1.43
1.49 0.350000 760017 1.54
1.50 0.400000 835135 1.67
1.50 0.450000 907482 1.82
1.52 0.500000 1034879 2.00
1.53 0.525000 1089894 2.11
1.53 0.550000 1138791 2.22
1.54 0.575000 1181089 2.35
1.55 0.600000 1217749 2.50
1.57 0.625000 1276396 2.67
1.58 0.650000 1317584 2.86
1.61 0.675000 1357467 3.08
1.67 0.700000 1400428 3.33
1.80 0.725000 1452491 3.64
1.86 0.750000 1501458 4.00
1.90 0.762500 1532856 4.21
1.91 0.775000 1550412 4.44
1.94 0.787500 1577811 4.71
1.96 0.800000 1607162 5.00
1.98 0.812500 1627298 5.33
2.00 0.825000 1658482 5.71
2.02 0.837500 1679573 6.15
2.03 0.850000 1700646 6.67
2.06 0.862500 1741516 7.27
2.08 0.875000 1761248 8.00
2.10 0.881250 1780108 8.42
2.10 0.887500 1780108 8.89
2.11 0.893750 1797587 9.41
2.13 0.900000 1813808 10.00
2.13 0.906250 1813808 10.67
2.14 0.912500 1828492 11.43
2.16 0.918750 1841375 12.31
2.17 0.925000 1852714 13.33
2.21 0.931250 1870177 14.55
2.22 0.937500 1876767 16.00
2.24 0.940625 1882134 16.84
2.27 0.943750 1889648 17.78
2.30 0.946875 1894275 18.82
2.42 0.950000 1900115 20.00
2.58 0.953125 1907206 21.33
2.62 0.956250 1913673 22.86
2.65 0.959375 1920238 24.62
2.69 0.962500 1928715 26.67
2.70 0.965625 1933603 29.09
2.72 0.968750 1938697 32.00
2.73 0.970313 1943990 33.68
2.73 0.971875 1943990 35.56
2.75 0.973437 1949514 37.65
2.77 0.975000 1955047 40.00
2.77 0.976562 1955047 42.67
2.78 0.978125 1960486 45.71
2.78 0.979688 1960486 49.23
2.80 0.981250 1965654 53.33
2.80 0.982812 1965654 58.18
