Value Percentile TotalCount 1/(1-Percentile)

0.06 0.000000 4 1.00
1.30 0.050000 107479 1.05
1.33 0.100000 214437 1.11
1.35 0.150000 308645 1.18
1.37 0.200000 434898 1.25
1.38 0.250000 509143 1.33
1.39 0.300000 672584 1.43
1.40 0.350000 756835 1.54
1.41 0.400000 839454 1.67
1.42 0.450000 918495 1.82
1.43 0.500000 1055792 2.00
1.43 0.525000 1055792 2.11
1.44 0.550000 1112767 2.22
1.45 0.575000 1161986 2.35
1.46 0.600000 1204576 2.50
1.47 0.625000 1273658 2.67
1.48 0.650000 1301456 2.86
1.50 0.675000 1363256 3.08
1.53 0.700000 1400615 3.33
1.63 0.725000 1451935 3.64
1.73 0.750000 1502645 4.00
1.76 0.762500 1530509 4.21
1.78 0.775000 1554955 4.44
1.81 0.787500 1582380 4.71
1.82 0.800000 1601705 5.00
1.85 0.812500 1632856 5.33
1.86 0.825000 1654253 5.71
1.88 0.837500 1676405 6.15
1.90 0.850000 1710109 6.67
1.92 0.862500 1732414 7.27
1.94 0.875000 1754443 8.00
1.94 0.881250 1765100 8.42
1.95 0.887500 1775654 8.89
1.97 0.893750 1795981 9.41
1.98 0.900000 1805432 10.00
1.98 0.906250 1814444 10.67
2.00 0.912500 1831194 11.43
2.01 0.918750 1838747 12.31
2.02 0.925000 1852510 13.33
2.04 0.931250 1864369 14.55
2.06 0.937500 1879211 16.00
2.08 0.940625 1887371 16.84
2.10 0.943750 1894171 17.78
2.10 0.946875 1894171 18.82
2.13 0.950000 1904837 20.00
2.14 0.953125 1908657 21.33
2.17 0.956250 1914180 22.86
2.22 0.959375 1918828 24.62
2.45 0.962500 1925711 26.67
2.50 0.965625 1931694 29.09
2.53 0.968750 1938211 32.00
2.54 0.970313 1942196 33.68
2.56 0.971875 1946691 35.56
2.58 0.973437 1951355 37.65
2.58 0.975000 1951355 40.00
2.59 0.976562 1956137 42.67
2.61 0.978125 1960989 45.71
2.61 0.979688 1960989 49.23
2.62 0.981250 1965882 53.33
2.62 0.982812 1965882 58.18
2.64 0.984375 1970421 64.00
2.64 0.985156 1970421 67.37
2.65 0.985938 1974494 71.11
2.65 0.986719 1974494 75.29
2.67 0.987500 1978204 80.00
2.67 0.988281 1978204 85.33
2.67 0.989062 1978204 91.43
2.69 0.989844 1981557 98.46
2.69 0.990625 1981557 106.67
2.70 0.991406 1984377 116.36
2.70 0.992188 1984377 128.00
2.72 0.992578 1986771 134.74
2.72 0.992969 1986771 142.22
2.72 0.993359 1986771 150.59
2.73 0.993750 1988801 160.00
2.73 0.994141 1988801 170.67
2.75 0.994531 1990499 182.86
2.75 0.994922 1990499 196.92
2.77 0.995313 1991786 213.33
2.77 0.995703 1991786 232.73
2.78 0.996094 1992795 256.00
2.78 0.996289 1992795 269.47
2.80 0.996484 1993573 284.44
2.80 0.996680 1993573 301.18
2.81 0.996875 1994177 320.00
2.81 0.997070 1994177 341.33
2.83 0.997266 1994646 365.71
2.85 0.997461 1994937 393.85
2.90 0.997656 1995393 426.67
3.04 0.997852 1995717 465.45
3.34 0.998047 1996123 512.00
3.49 0.998145 1996302 538.95
3.66 0.998242 1996493 568.89
3.82 0.998340 1996685 602.35
4.00 0.998437 1996897 640.00
4.16 0.998535 1997098 682.67
4.32 0.998633 1997297 731.43
4.48 0.998730 1997491 787.69
4.61 0.998828 1997673 853.33
