Value Percentile TotalCount 1/(1-Percentile)

0.06 0.000000 9 1.00
1.47 0.050000 105269 1.05
1.50 0.100000 227336 1.11
1.51 0.150000 366359 1.18
1.52 0.200000 454807 1.25
1.53 0.250000 554386 1.33
1.53 0.300000 661802 1.43
1.54 0.350000 773897 1.54
1.55 0.400000 885548 1.67
1.56 0.450000 993532 1.82
1.57 0.500000 1093281 2.00
1.57 0.525000 1093281 2.11
1.57 0.550000 1180776 2.22
1.57 0.575000 1180776 2.35
1.58 0.600000 1255904 2.50
1.58 0.625000 1255904 2.67
1.59 0.650000 1318296 2.86
1.60 0.675000 1368664 3.08
1.61 0.700000 1408955 3.33
1.62 0.725000 1466406 3.64
1.64 0.750000 1502926 4.00
1.66 0.762500 1527787 4.21
1.68 0.775000 1552788 4.44
1.74 0.787500 1575525 4.71
1.94 0.800000 1600498 5.00
1.99 0.812500 1627090 5.33
2.03 0.825000 1655325 5.71
2.06 0.837500 1682929 6.15
2.10 0.850000 1714888 6.67
2.11 0.862500 1731871 7.27
2.14 0.875000 1767286 8.00
2.14 0.881250 1767286 8.42
2.16 0.887500 1784838 8.89
2.17 0.893750 1802027 9.41
2.17 0.900000 1802027 10.00
2.19 0.906250 1818064 10.67
2.21 0.912500 1832799 11.43
2.22 0.918750 1845941 12.31
2.24 0.925000 1857181 13.33
2.25 0.931250 1866283 14.55
2.29 0.937500 1879523 16.00
2.30 0.940625 1883869 16.84
2.33 0.943750 1889594 17.78
2.38 0.946875 1893840 18.82
2.77 0.950000 1900577 20.00
2.83 0.953125 1907897 21.33
2.86 0.956250 1915362 22.86
2.88 0.959375 1919989 24.62
2.90 0.962500 1925449 26.67
2.91 0.965625 1931362 29.09
2.93 0.968750 1937813 32.00
2.94 0.970313 1944467 33.68
2.94 0.971875 1944467 35.56
2.96 0.973437 1951345 37.65
2.96 0.975000 1951345 40.00
2.98 0.976562 1958043 42.67
2.98 0.978125 1958043 45.71
2.99 0.979688 1964225 49.23
2.99 0.981250 1964225 53.33
3.01 0.982812 1969957 58.18
3.01 0.984375 1969957 64.00
3.02 0.985156 1974955 67.37
3.02 0.985938 1974955 71.11
3.02 0.986719 1974955 75.29
3.04 0.987500 1979220 80.00
3.04 0.988281 1979220 85.33
3.04 0.989062 1979220 91.43
3.06 0.989844 1982812 98.46
3.06 0.990625 1982812 106.67
3.07 0.991406 1985536 116.36
3.07 0.992188 1985536 128.00
3.07 0.992578 1985536 134.74
3.09 0.992969 1987655 142.22
3.09 0.993359 1987655 150.59
3.09 0.993750 1987655 160.00
3.10 0.994141 1989215 170.67
3.10 0.994531 1989215 182.86
3.12 0.994922 1990403 196.92
3.13 0.995313 1991201 213.33
3.15 0.995703 1991797 232.73
3.17 0.996094 1992224 256.00
3.20 0.996289 1992893 269.47
3.21 0.996484 1993170 284.44
3.23 0.996680 1993462 301.18
3.25 0.996875 1993770 320.00
3.28 0.997070 1994225 341.33
3.31 0.997266 1994597 365.71
