Value Percentile TotalCount 1/(1-Percentile)

0.06 0.000000 12 1.00
2.70 0.050000 421922 1.05
2.72 0.100000 743548 1.11
2.73 0.150000 1157669 1.18
2.73 0.200000 1157669 1.25
2.75 0.250000 1617363 1.33
2.75 0.300000 1617363 1.43
2.77 0.350000 2047077 1.54
2.77 0.400000 2047077 1.67
2.78 0.450000 2430625 1.82
2.80 0.500000 2691926 2.00
2.80 0.525000 2691926 2.11
2.81 0.550000 2857289 2.22
2.83 0.575000 2966317 2.35
2.85 0.600000 3053762 2.50
2.86 0.625000 3154594 2.67
2.88 0.650000 3281608 2.86
2.90 0.675000 3395567 3.08
2.93 0.700000 3505494 3.33
3.13 0.725000 3647795 3.64
3.25 0.750000 3778081 4.00
3.26 0.762500 3812741 4.21
3.33 0.775000 3926036 4.44
3.34 0.787500 4008468 4.71
3.34 0.800000 4008468 5.00
3.36 0.812500 4132932 5.33
3.36 0.825000 4132932 5.71
3.38 0.837500 4282042 6.15
3.38 0.850000 4282042 6.67
3.39 0.862500 4433937 7.27
3.39 0.875000 4433937 8.00
3.39 0.881250 4433937 8.42
3.41 0.887500 4567572 8.89
3.41 0.893750 4567572 9.41
3.41 0.900000 4567572 10.00
3.41 0.906250 4567572 10.67
3.41 0.912500 4567572 11.43
3.42 0.918750 4690436 12.31
3.42 0.925000 4690436 13.33
3.42 0.931250 4690436 14.55
3.42 0.937500 4690436 16.00
3.44 0.940625 4786398 16.84
3.44 0.943750 4786398 17.78
3.44 0.946875 4786398 18.82
3.44 0.950000 4786398 20.00
3.44 0.953125 4786398 21.33
3.44 0.956250 4786398 22.86
3.46 0.959375 4850133 24.62
3.46 0.962500 4850133 26.67
3.46 0.965625 4850133 29.09
3.46 0.968750 4850133 32.00
3.47 0.970313 4885685 33.68
3.47 0.971875 4885685 35.56
3.47 0.973437 4885685 37.65
3.47 0.975000 4885685 40.00
3.47 0.976562 4885685 42.67
3.49 0.978125 4905998 45.71
3.49 0.979688 4905998 49.23
3.50 0.981250 4920671 53.33
3.50 0.982812 4920671 58.18
3.52 0.984375 4930992 64.00
3.52 0.985156 4930992 67.37
3.52 0.985938 4930992 71.11
3.54 0.986719 4937476 75.29
3.55 0.987500 4941863 80.00
3.55 0.988281 4941863 85.33
3.57 0.989062 4945635 91.43
3.60 0.989844 4949371 98.46
3.65 0.990625 4954078 106.67
3.82 0.991406 4957055 116.36
4.25 0.992188 4961055 128.00
4.35 0.992578 4962901 134.74
4.48 0.992969 4965951 142.22
4.51 0.993359 4967510 150.59
4.58 0.993750 4968761 160.00
4.70 0.994141 4970714 170.67
4.99 0.994531 4972708 182.86
5.70 0.994922 4974725 196.92
6.40 0.995313 4976623 213.33
7.13 0.995703 4978574 232.73
7.90 0.996094 4980506 256.00
8.45 0.996289 4981451 269.47
9.02 0.996484 4982503 284.44
9.60 0.996680 4983481 301.18
10.11 0.996875 4984399 320.00
10.69 0.997070 4985401 341.33
11.26 0.997266 4986403 365.71
11.78 0.997461 4987318 393.85
12.35 0.997656 4988347 426.67
12.86 0.997852 4989269 465.45
13.44 0.998047 4990323 512.00
13.70 0.998145 4990778 538.95
13.95 0.998242 4991242 568.89
14.21 0.998340 4991729 602.35
14.46 0.998437 4992190 640.00
14.78 0.998535 4992760 682.67
15.04 0.998633 4993237 731.43
15.29 0.998730 4993703 787.69
15.55 0.998828 4994196 853.33
15.81 0.998926 4994631 930.91
16.13 0.999023 4995202 1024.00
16.25 0.999072 4995444 1077.89
16.38 0.999121 4995661 1137.78
16.51 0.999170 4995864 1204.71
16.64 0.999219 4996105 1280.00
16.89 0.999268 4996488 1365.33
17.02 0.999316 4996705 1462.86
17.15 0.999365 4996903 1575.38
17.28 0.999414 4997113 1706.67
17.54 0.999463 4997454 1861.82
17.66 0.999512 4997652 2048.00
17.79 0.999536 4997797 2155.79
17.92 0.999561 4997941 2275.56
17.92 0.999585 4997941 2409.41
18.05 0.999609 4998064 2560.00
18.30 0.999634 4998275 2730.67
18.43 0.999658 4998345 2925.71
18.56 0.999683 4998414 3150.77
18.94 0.999707 4998568 3413.33
19.33 0.999731 4998667 3723.64
19.97 0.999756 4998790 4096.00
20.35 0.999768 4998849 4311.58
20.86 0.999780 4998907 4551.11
21.50 0.999792 4998973 4818.82
22.02 0.999805 4999024 5120.00
22.78 0.999817 4999099 5461.33
23.42 0.999829 4999157 5851.43
24.06 0.999841 4999213 6301.54
24.83 0.999854 4999280 6826.67
25.47 0.999866 4999335 7447.27
26.24 0.999878 4999398 8192.00
26.62 0.999884 4999430 8623.16
26.88 0.999890 4999451 9102.22
27.26 0.999896 4999485 9637.65
27.65 0.999902 4999522 10240.00
27.90 0.999908 4999545 10922.67
