Value Percentile TotalCount 1/(1-Percentile)

0.06 0.000000 14 1.00
2.77 0.050000 277990 1.05
2.81 0.100000 528258 1.11
2.85 0.150000 1016578 1.18
2.85 0.200000 1016578 1.25
2.86 0.250000 1330323 1.33
2.88 0.300000 1614665 1.43
2.90 0.350000 1855914 1.54
2.91 0.400000 2107228 1.67
2.93 0.450000 2290417 1.82
2.96 0.500000 2523063 2.00
2.99 0.525000 2655136 2.11
3.10 0.550000 2750704 2.22
3.21 0.575000 2882437 2.35
3.23 0.600000 3018783 2.50
3.25 0.625000 3153962 2.67
3.26 0.650000 3302114 2.86
3.28 0.675000 3466071 3.08
3.29 0.700000 3707267 3.33
3.29 0.725000 3707267 3.64
3.31 0.750000 3998499 4.00
3.31 0.762500 3998499 4.21
3.31 0.775000 3998499 4.44
3.31 0.787500 3998499 4.71
3.33 0.800000 4234387 5.00
3.33 0.812500 4234387 5.33
3.33 0.825000 4234387 5.71
3.33 0.837500 4234387 6.15
3.34 0.850000 4394927 6.67
3.34 0.862500 4394927 7.27
3.34 0.875000 4394927 8.00
3.36 0.881250 4508645 8.42
3.36 0.887500 4508645 8.89
3.36 0.893750 4508645 9.41
3.36 0.900000 4508645 10.00
3.38 0.906250 4630036 10.67
3.38 0.912500 4630036 11.43
3.38 0.918750 4630036 12.31
3.38 0.925000 4630036 13.33
3.39 0.931250 4734540 14.55
3.39 0.937500 4734540 16.00
3.39 0.940625 4734540 16.84
3.39 0.943750 4734540 17.78
3.39 0.946875 4734540 18.82
3.41 0.950000 4804503 20.00
3.41 0.953125 4804503 21.33
3.41 0.956250 4804503 22.86
3.41 0.959375 4804503 24.62
3.42 0.962500 4849346 26.67
3.42 0.965625 4849346 29.09
3.42 0.968750 4849346 32.00
3.44 0.970313 4879594 33.68
3.44 0.971875 4879594 35.56
3.44 0.973437 4879594 37.65
3.44 0.975000 4879594 40.00
3.46 0.976562 4896853 42.67
3.46 0.978125 4896853 45.71
3.47 0.979688 4906197 49.23
3.49 0.981250 4915642 53.33
3.49 0.982812 4915642 58.18
3.52 0.984375 4926568 64.00
3.52 0.985156 4926568 67.37
3.54 0.985938 4937343 71.11
3.54 0.986719 4937343 75.29
3.55 0.987500 4948030 80.00
3.55 0.988281 4948030 85.33
3.55 0.989062 4948030 91.43
3.57 0.989844 4952393 98.46
3.58 0.990625 4954301 106.67
3.62 0.991406 4957077 116.36
3.69 0.992188 4961175 128.00
3.85 0.992578 4962964 134.74
4.05 0.992969 4964939 142.22
4.25 0.993359 4966886 150.59
4.48 0.993750 4968777 160.00
4.99 0.994141 4970748 170.67
5.73 0.994531 4972678 182.86
6.59 0.994922 4974670 196.92
7.49 0.995313 4976629 213.33
8.45 0.995703 4978581 232.73
9.41 0.996094 4980514 256.00
9.92 0.996289 4981550 269.47
10.37 0.996484 4982485 284.44
10.81 0.996680 4983416 301.18
11.33 0.996875 4984410 320.00
11.78 0.997070 4985355 341.33
12.22 0.997266 4986333 365.71
12.67 0.997461 4987306 393.85
13.12 0.997656 4988393 426.67
13.44 0.997852 4989374 465.45
13.89 0.998047 4990256 512.00
14.14 0.998145 4990763 538.95
14.40 0.998242 4991256 568.89
14.65 0.998340 4991759 602.35
14.91 0.998437 4992262 640.00
15.17 0.998535 4992776 682.67
15.42 0.998633 4993278 731.43
15.62 0.998730 4993656 787.69
15.87 0.998828 4994144 853.33
16.13 0.998926 4994631 930.91
16.51 0.999023 4995337 1024.00
16.64 0.999072 4995567 1077.89
16.77 0.999121 4995802 1137.78
16.89 0.999170 4996019 1204.71
17.02 0.999219 4996228 1280.00
17.15 0.999268 4996463 1365.33
17.28 0.999316 4996677 1462.86
17.41 0.999365 4996874 1575.38
17.54 0.999414 4997091 1706.67
17.79 0.999463 4997460 1861.82
17.92 0.999512 4997626 2048.00
18.05 0.999536 4997782 2155.79
18.18 0.999561 4997939 2275.56
18.18 0.999585 4997939 2409.41
18.30 0.999609 4998057 2560.00
18.56 0.999634 4998249 2730.67
18.69 0.999658 4998332 2925.71
18.94 0.999683 4998462 3150.77
19.20 0.999707 4998571 3413.33
19.58 0.999731 4998687 3723.64
20.09 0.999756 4998796 4096.00
20.48 0.999768 4998855 4311.58
20.99 0.999780 4998915 4551.11
21.50 0.999792 4998967 4818.82
22.14 0.999805 4999030 5120.00
22.78 0.999817 4999094 5461.33
23.42 0.999829 4999153 5851.43
24.06 0.999841 4999220 6301.54
24.70 0.999854 4999282 6826.67
25.34 0.999866 4999338 7447.27
25.98 0.999878 4999393 8192.00
26.37 0.999884 4999427 8623.16
26.75 0.999890 4999460 9102.22
27.01 0.999896 4999484 9637.65
27.39 0.999902 4999513 10240.00
27.77 0.999908 4999549 10922.67
28.16 0.999915 4999577 11702.86
28.41 0.999921 4999604 12603.08
28.80 0.999927 4999634 13653.33
29.18 0.999933 4999667 14894.55
29.57 0.999939 4999700 16384.00
29.70 0.999942 4999711 17246.32
29.95 0.999945 4999734 18204.44
30.08 0.999948 4999743 19275.29
30.21 0.999951 4999756 20480.00
30.46 0.999954 4999781 21845.33
30.59 0.999957 4999791 23405.71
30.85 0.999960 4999808 25206.15
30.98 0.999963 4999824 27306.67
31.23 0.999966 4999841 29789.09
31.36 0.999969 4999853 32768.00
31.49 0.999971 4999866 34492.63
31.49 0.999973 4999866 36408.89
31.61 0.999974 4999872 38550.59
31.74 0.999976 4999882 40960.00
31.87 0.999977 4999890 43690.67
32.00 0.999979 4999900 46811.43
32.13 0.999980 4999908 50412.31
32.26 0.999982 4999913 54613.33
32.38 0.999983 4999922 59578.18
32.51 0.999985 4999927 65536.00
32.64 0.999986 4999933 68985.26
32.64 0.999986 4999933 72817.78
