Value Percentile TotalCount 1/(1-Percentile)

0.06 0.000000 24 1.00
2.72 0.050000 253333 1.05
2.73 0.100000 564419 1.11
2.75 0.150000 1065820 1.18
2.75 0.200000 1065820 1.25
2.77 0.250000 1639279 1.33
2.77 0.300000 1639279 1.43
2.78 0.350000 2251819 1.54
2.78 0.400000 2251819 1.67
2.78 0.450000 2251819 1.82
2.80 0.500000 2794745 2.00
2.80 0.525000 2794745 2.11
2.80 0.550000 2794745 2.22
2.81 0.575000 3301474 2.35
2.81 0.600000 3301474 2.50
2.81 0.625000 3301474 2.67
2.81 0.650000 3301474 2.86
2.83 0.675000 3748179 3.08
2.83 0.700000 3748179 3.33
2.83 0.725000 3748179 3.64
2.85 0.750000 4028576 4.00
2.85 0.762500 4028576 4.21
2.85 0.775000 4028576 4.44
2.85 0.787500 4028576 4.71
2.85 0.800000 4028576 5.00
2.86 0.812500 4204518 5.33
2.86 0.825000 4204518 5.71
2.86 0.837500 4204518 6.15
2.88 0.850000 4326843 6.67
2.88 0.862500 4326843 7.27
2.90 0.875000 4410291 8.00
2.90 0.881250 4410291 8.42
2.91 0.887500 4465207 8.89
2.93 0.893750 4499918 9.41
2.94 0.900000 4519216 10.00
2.96 0.906250 4531405 10.67
3.06 0.912500 4563765 11.43
3.15 0.918750 4596768 12.31
3.20 0.925000 4642682 13.33
3.21 0.931250 4690213 14.55
3.21 0.937500 4690213 16.00
3.23 0.940625 4743489 16.84
3.23 0.943750 4743489 17.78
3.23 0.946875 4743489 18.82
3.25 0.950000 4782154 20.00
3.25 0.953125 4782154 21.33
3.25 0.956250 4782154 22.86
3.26 0.959375 4822781 24.62
3.26 0.962500 4822781 26.67
3.28 0.965625 4869047 29.09
3.28 0.968750 4869047 32.00
3.28 0.970313 4869047 33.68
3.28 0.971875 4869047 35.56
3.28 0.973437 4869047 37.65
3.29 0.975000 4896964 40.00
3.29 0.976562 4896964 42.67
3.29 0.978125 4896964 45.71
3.31 0.979688 4907371 49.23
3.31 0.981250 4907371 53.33
3.34 0.982812 4919250 58.18
3.36 0.984375 4923833 64.00
3.38 0.985156 4928453 67.37
3.39 0.985938 4934250 71.11
3.39 0.986719 4934250 75.29
3.41 0.987500 4941515 80.00
3.41 0.988281 4941515 85.33
3.42 0.989062 4947829 91.43
3.44 0.989844 4952947 98.46
3.46 0.990625 4956506 106.67
3.47 0.991406 4959446 116.36
3.49 0.992188 4961913 128.00
3.50 0.992578 4963504 134.74
3.55 0.992969 4965053 142.22
